Длина,Время(мс),Сравнения
1000,0,1334
2000,0,2668
3000,1,4000
4000,1,5334
5000,2,6668
6000,5,8000
7000,5,9334
8000,5,10668
9000,4,12000
10000,4,13334
11000,5,14668
12000,5,16000
13000,6,17334
14000,7,18668
15000,7,20000
16000,8,21334
17000,7,22668
18000,9,24000
19000,8,25334
20000,10,26668
21000,9,28000
22000,9,29334
23000,11,30668
24000,10,32000
25000,11,33334
26000,12,34668
27000,12,36000
28000,12,37334
29000,12,38668
30000,13,40000
31000,13,41334
32000,14,42668
33000,14,44000
34000,15,45334
35000,15,46668
36000,16,48000
37000,17,49334
38000,17,50668
39000,17,52000
40000,18,53334
41000,18,54668
42000,19,56000
43000,20,57334
44000,20,58668
45000,21,60000
46000,22,61334
47000,23,62668
48000,21,64000
49000,21,65334
50000,22,66668
