Длина,Время(мс),Сравнения
1000,1,1997
2000,2,3997
3000,3,5997
4000,4,7997
5000,5,9997
6000,7,11997
7000,7,13997
8000,8,15997
9000,9,17997
10000,10,19997
11000,11,21997
12000,12,23997
13000,15,25997
14000,15,27997
15000,15,29997
16000,18,31997
17000,18,33997
18000,18,35997
19000,21,37997
20000,21,39997
21000,21,41997
22000,22,43997
23000,25,45997
24000,24,47997
25000,25,49997
26000,28,51997
27000,27,53997
28000,28,55997
29000,30,57997
30000,51,59997
31000,42,61997
32000,41,63997
33000,37,65997
34000,36,67997
35000,38,69997
36000,37,71997
37000,40,73997
38000,45,75997
39000,43,77997
40000,43,79997
41000,46,81997
42000,43,83997
43000,46,85997
44000,47,87997
45000,48,89997
46000,50,91997
47000,51,93997
48000,51,95997
49000,54,97997
50000,51,99997
