Длина,Время(мс),Сравнения
1000,0,1018
2000,0,2039
3000,1,3048
4000,1,4079
5000,1,5076
6000,1,6090
7000,1,7096
8000,2,8115
9000,2,9168
10000,2,10153
11000,3,11172
12000,3,12181
13000,3,13219
14000,4,14199
15000,4,15249
16000,4,16244
17000,4,17300
18000,4,18296
19000,5,19303
20000,5,20318
21000,5,21303
22000,6,22340
23000,6,23370
24000,6,24380
25000,6,25401
26000,7,26381
27000,7,27434
28000,7,28422
29000,7,29487
30000,8,30483
31000,8,31470
32000,8,32492
33000,9,33505
34000,9,34565
35000,9,35510
36000,10,36606
37000,10,37591
38000,11,38615
39000,10,39624
40000,11,40692
41000,11,41650
42000,11,42698
43000,11,43668
44000,12,44717
45000,12,45681
46000,13,46737
47000,12,47725
48000,13,48792
49000,13,49830
50000,13,50782
